culture,count,mean_age,std_age,ci_95,pi_95,ci_lower,ci_upper,pi_lower,pi_upper
French or British,101,236.0990099009901,208.61224819988374,40.68508127727143,408.8800064717721,195.41392862371868,276.7840911782615,-172.780996570782,644.9790163727622
"Greek, Cypriot",101,3786.366336633663,2779.485177952105,542.0754598531558,5447.790948786126,3244.2908767805075,4328.441796486819,-1661.424612152463,9234.15728541979
"French, Beauvais",100,195.75,36.078862834550975,7.071457115571991,70.71457115571991,188.678542884428,202.821457115572,125.03542884428009,266.4645711557199
"European, Eastern",98,146.76530612244898,69.71648047560433,13.803158909332621,136.6443017321845,132.96214721311637,160.56846503178159,10.121004390264488,283.40960785463346
Swedish,97,103.76288659793815,103.48306757587972,20.593942620608797,202.82681244872424,83.16894397732935,124.35682921854695,-99.06392585078609,306.5896990466624
Vietnam,97,1311.9175257731958,954.4253252405246,189.93813040231726,1870.673637471428,1121.9793953708786,1501.855656175513,-558.7561116982322,3182.591163244624
Portuguese,96,239.76041666666666,118.77911785208414,23.760772184900343,232.80707099008492,215.99964448176632,263.521188851567,6.953345676581733,472.5674876567516
Greek or Roman,96,3382.5208333333335,2758.2435752873666,551.7636299040605,5406.157407563239,2830.757203429273,3934.284463237394,-2023.6365742299054,8788.678240896572
Thai,94,113.40425531914893,166.52296939622553,33.66404441057249,326.385020016602,79.74021090857644,147.06829972972142,-212.98076469745308,439.789275335751
Scottish,93,159.88172043010752,135.05512960191683,27.448946522457994,264.70805401975696,132.43277390764953,187.3306669525655,-104.82633358964944,424.5897744498645
Sasanian or Islamic,93,1854.0537634408602,191.3135580999336,38.88305198614023,374.97457387586985,1815.1707114547198,1892.9368154270005,1479.0791895649904,2229.02833731673
Netherlandish,93,422.36559139784947,106.62773366149987,21.671290588609114,208.99035797653974,400.69430080924036,444.0368819864586,213.37523342130973,631.3559493743892
